Table: Table_1

,AREA ,PRODUCT ,PETRON ,SHELL ,CALTEX ,PHOENIX ,FLYING V ,SEAOIL ,JETTI ,MY GAS ,INDEPENDENT ,OVERALL DANCE ,COMMON DDICE ,AVERAGE DDICE ,
Agusan Norte ,,RON 97 ,N.A ,N.A ,N.A ,- ,N.A ,N.A ,,,N.A ,,NONE ,NONE ,
,,RON 95 ,75.91 75.91 ,- ,79.55 79.55 ,80.11 80.11 ,73.43 73.44 ,75.91 75.91 ,,,- ,73.43 80.11 ,75.91 ,76.92 ,
,,RON 91 ,,- ,79.25 79.25 ,80.05 80.05 ,72.96 72.96 ,75.41 75.41 ,NO BRANCH/ ,NO BRANCH/ ,- ,72.96 80.05 ,80.05 ,76.78 ,
,Cabadbaran City ,DIESEL ,79.08 79.08 ,- ,83.10 83.10 ,82.45 82.45 ,78.04 78.04 ,80.60 80.60 ,OUTLET ,OUTLET ,- ,78.04 83.10 ,82.45 ,80.54 ,
,,DIESEL PLUS ,- ,- ,N.A ,N.A ,N.A ,N.A ,,,N.A ,- ,NONE ,NONE ,
,,KEROSENE ,85.75-85.75 ,- ,85.75 85.75 ,N.A ,- ,N.A ,,,- ,85.75-85.75 ,85.75 ,85.75 ,





Table: Table_1

,AREA ,PRODUCT ,PETRON ,SHELL ,CALTEX ,PHOENIX ,FLYING V ,SEAOIL ,JETTI ,MY GAS ,INDEPENDENT ,OVERALL DANCE ,COMMON DDICE ,AVERAGE DDICE ,
,,RON 95 ,,78.65 - 78.65 ,,78.65 - 78.65 ,- ,,,,78.65 - 79.20 ,78.65 - 79.20 ,78.65 ,78.74 ,
,,RON 91 ,NO BRANCH/ ,78.05 78.05 ,NO BRANCH/ ,78.05 78.05 ,- ,NO BRANCH/ ,NO BRANCH/ ,NO BRANCH/ ,78.05 78.05 ,78.05 78.05 ,78.05 ,78.05 ,
,Bislig City ,DIESEL ,OUTLET ,81.25 81.25 ,OUTLET ,81.25 81.25 ,- ,OUTLET ,OUTLET ,OUTLET ,81.25 81.25 ,81.25 81.25 ,81.25 ,81.25 ,
,,DIESEL PLUS ,,85.25 85.85 ,,N.A ,N.A ,,,,N.A ,85.25 85.85 ,NONE ,85.55 ,
,,KEROSENE ,,85.20 85.20 ,,102.15 102.15 ,N.A ,,,,90.30 90.30 ,85.20 102.15 ,NONE ,92.55 ,
Surigao del Sur ,,RON 97 ,N.A ,N.A ,,,,,,,N.A ,,NONE ,NONE ,
,,RON 95 ,- ,82.35 82.35 ,,,,,,,- ,82.35 82.35 ,NONE ,82.35 ,
,Tandag City ,RON 91 DIESEL ,- ,81.60 81.60 82.40 82.40 ,NO BRANCH/ OUTLET ,NO BRANCH/ OUTLET ,NO BRANCH/ OUTLET ,NO BRANCH/ OUTLET ,NO BRANCH/ OUTLET ,NO BRANCH/ OUTLET ,- ,81.60 81.60 82.40 82.40 ,NONE NONE ,81.60 82.40 ,
,,DIESEL PLUS ,- - ,89.45 89.45 ,,,,,,,- N.A ,89.45 89.45 ,NONE ,89.45 ,
,,KEROSENE ,- ,- ,,,,,,,- ,- ,NONE ,NONE ,
,,RON 97 ,N.A ,N.A ,N.A ,,,,N.A ,,- ,- ,NONE ,NONE ,
,,RON 95 ,77.65 78.00 ,79.74 79.74 ,80.29 80.90 ,,,78.85 - 78.85 ,81.76 81.76 ,,79.65 79.65 ,77.65 81.76 ,79.74 ,79.65 ,
Suerigao del ,,RON 91 ,76.90 77.05 ,79.09 79.09 ,80.15 80.15 ,NO BRANCH/ ,NO BRANCH/ ,78.10 78.10 ,81.11 81.11 ,NO BRANCH/ ,79.50 79.50 ,76.90 81.11 ,79.09 ,78.96 ,
Norte ,Surigao City ,DIESEL ,80.85 82.00 ,82.90 82.90 ,83.45 83.45 ,OUTLET ,OUTLET ,81.50 81.50 ,84.90 84.90 ,OUTLET ,82.50 82.50 ,80.85 84.90 ,82.90 ,82.75 ,
,,DIESEL PLUS ,,87.10 87.10 ,N.A ,,,,- ,,N.A ,87.10 87.10 ,87.10 ,87.10 ,
,,KEROSENE ,80.51 82.11 ,- ,82.11 82.11 ,,,,N.A ,,- ,80.51 82.11 ,82.11 ,81.58 ,
,,RON 100 ,- ,,,,,- ,,,- ,- ,NONE ,NONE ,
,,RON 97 ,- ,,,,,- ,,,- ,- ,NONE ,NONE ,
,,RON 95 ,84.28 84.28 ,NO BRANCH/ ,NO BRANCH/ ,NO BRANCH/ ,NO BRANCH/ ,85.73 85.73 ,NO BRANCH/ ,NO BRANCH/ ,82.00 85.00 ,82.00 85.73 ,NONE ,84.30 ,
Siargao ,Siargao ,RON 91 ,83.53 83.53 ,,,,,- ,,,82.00 84.28 ,82.00 84.28 ,NONE ,83.45 ,
,,DIESEL ,86.91 86.91 ,OUTLET ,OUTLET ,OUTLET ,OUTLET ,86.91 86.91 ,OUTLET ,OUTLET ,80.00 88.00 ,80.00 88.00 ,86.91 ,85.75 ,
,,DIESEL PLUS ,- ,,,,,- ,,,- ,- ,NONE ,NONE ,
,,KEROSENE ,- ,,,,,- ,,,- ,- ,NONE ,NONE ,
,,RON 100 ,,,,,,,,,- ,- ,NONE ,NONE ,
,,RON 97 ,,,,,,,,,- ,- ,NONE ,NONE ,
,,RON 95 ,NO BRANCH/ ,NO BRANCH/ ,NO BRANCH/ ,NO BRANCH/ ,NO BRANCH/ ,NO BRANCH/ ,NO BRANCH/ ,NO BRANCH/ ,78.00 85.50 ,78.00 85.50 ,78.00 ,80.50 ,
Dinagat ,Dinagat ,RON 91 ,,,,,,,,,78.00 85.00 ,78.00 85.00 ,NONE ,81.50 ,
,,DIESEL ,OUTLET ,OUTLET ,OUTLET ,OUTLET ,OUTLET ,OUTLET ,OUTLET ,OUTLET ,84.00 87.50 ,84.00 87.50 ,NONE ,85.50 ,
,,DIESEL PLUS ,,,,,,,,,- ,- ,NONE ,NONE ,
,,KEROSENE ,,,,,,,,,- ,- ,NONE ,NONE ,





Table: Table_1

AREA ,,PRODUCT ,PETRON ,SHELL ,CALTEX ,PHOENIX ,FLYING V ,SEAOIL ,JETTI ,MY GAS ,INDEPENDENT ,OVERALL DANCE ,COMMON DDICE ,AVERAGE DDICE ,
Province ,Cities ,,,,,,,BARMM ,,,,,,,
,,RON 95 ,79.85 79.85 ,80.35 80.35 ,80.35 80.35 ,- ,,- ,,,79.86 79.86 ,79.85 80.35 ,80.35 ,80.15 ,
,,RON 91 ,79.10 79.10 ,79.60 79.60 ,79.60 79.60 ,- ,,- ,,,79.11 79.11 ,79.10 79.60 ,79.60 ,79.40 ,
Maguindanao ,Cotabato City ,DIESEL ,83.10 83.10 ,83.60 83.60 ,83.60 83.60 ,- ,NO BRANCH/ OUTLET ,- ,NO BRANCH/ OUTLET ,NO BRANCH/ OUTLET ,84.60 84.60 ,83.10 84.60 ,83.60 ,83.70 ,
,,DIESEL PLUS ,,89.99 89.99 ,N.A ,N.A ,,N.A ,,,N.A ,89.99 89.99 ,89.99 ,89.99 ,
,,KEROSENE ,81.42 81.42 ,83.00 83.00 ,- ,N.A ,,N.A ,,,- ,81.42 83.00 ,NONE ,82.21 ,





Table: Table_1

,AREA ,PRODUCT ,PETRON ,SHELL ,CALTEX ,PHOENIX ,FLYING V ,SEAOIL ,JETTI ,MY GAS ,INDEPENDENT ,OVERALL DANCE ,COMMON PRICE ,AVERAGE PRICE ,
,,RON 100 ,- ,- ,,- ,- ,,,,- ,- ,NONE ,NONE ,
,,RON 97 ,- ,- ,,- ,- ,,,,- ,- ,NONE ,NONE ,
,,RON 95 ,76.85 76.85 ,88.91 88.91 ,,- ,- ,,,,- ,76.85 88.91 ,NONE ,82.88 ,
,Quezon ,RON 91 ,76.35 76.35 ,74.35 74.35 ,NO BRANCH/ OUTLET ,- ,- ,NO BRANCH/ OUTLET ,NO BRANCH/ OUTLET ,NO BRANCH/ OUTLET ,- ,74.35 76.35 ,NONE ,75.35 ,
,,DIESEL ,81.25 81.25 ,80.22 80.22 ,,- ,- ,,,,- ,80.22 81.25 ,NONE ,80.74 ,
,,DIESEL PLUS ,- ,88.91 88.91 ,,- ,- ,,,,- ,88.91 88.91 ,NONE ,88.91 ,
,,KEROSENE ,- ,- ,,- ,- ,,,,- ,- ,NONE ,NONE ,
,,RON 100 ,81.76 81.76 ,- ,N.A ,N.A ,,N.A ,N.A ,,N.A ,81.76 81.76 ,NONE ,81.76 ,
,,RON 97 ,N.A ,N.A ,N.A ,- ,,N.A ,N.A ,,N.A ,- ,NONE ,NONE ,
,,RON 95 ,79.76 79.76 ,81.76 82.06 ,- ,- ,,79.75 - 79.75 ,- ,,80.26 81.46 ,79.75 82.06 ,79.76 ,80.87 ,
Lanao del Norte ,lligan City ,RON 91 ,79.01 79.01 ,80.96 81.31 ,- ,- ,NO BRANCH/ OUTLET ,79.01 79.01 ,- ,NO BRANCH/ OUTLET ,79.81 80.46 ,79.01 81.31 ,79.01 ,80.12 ,
,,DIESEL ,81.65 81.65 ,79.78 83.50 ,- ,- ,,82.55 82.55 ,- ,,82.18 83.00 ,79.78 83.50 ,81.65 ,82.30 ,
,,DIESEL PLUS ,83.65 83.65 ,87.26 88.43 ,N.A ,N.A ,,N.A ,N.A ,,N.A ,83.65 88.43 ,87.26 ,86.25 ,
,,KEROSENE ,- ,- ,- ,N.A ,,N.A ,N.A ,,- ,- ,NONE ,,
,,RON 97 ,- ,- ,- ,,,,- ,,- ,- ,NONE ,NONE ,
,Mambajao / ,RON 95 ,- ,- ,90.50 90.50 ,,,,92.70 92.70 ,,89.00 90.00 ,89.00 92.70 ,92.70 ,90.98 ,
,Mahinog / ,RON 91 ,- ,- ,89.80 89.80 ,NO BRANCH/ ,NO BRANCH/ ,NO BRANCH/ ,91.60 91.60 ,NO BRANCH/ ,88.00 89.00 ,88.00 91.60 ,91.60 ,90.00 ,
Camiguin ,Catarman / ,DIESEL ,- ,- ,93.40 93.40 ,OUTLET ,OUTLET ,OUTLET ,93.20 93.20 ,OUTLET ,91.00 91.00 ,91.00 93.40 ,93.20 ,92.36 ,
,Sagay / Jasaan ,DIESEL PLUS ,- ,- ,- ,,,,- ,,- ,- ,NONE ,NONE ,
,,KEROSENE ,- ,- ,- ,,,,- ,,- ,- ,NONE ,NONE ,
Province ,Cities ,,,,,,,REGION XI ,,,,,,,
,,RON 100 ,81.60 81.80 ,- ,N.A ,N.A ,N.A ,N.A ,N.A ,N.A ,N.A ,81.60-81.80 ,NONE ,81.70 ,
,,RON 97 ,- ,- ,N.A ,76.61 76.61 ,N.A ,N.A ,N.A ,N.A ,N.A ,76.61 76.61 ,NONE ,76.61 ,
,,RON 95 ,74.76 79.80 ,80.10 80.38 ,73.95 78.62 ,76.06 76.65 ,76.00 76.00 ,75.21 76.25 ,75.70 77.75 ,71.01 74.40 ,74.00 74.75 ,71.01 80.38 ,80.10 ,76.46 ,
,Davao City ,RON 91 ,74.00 79.05 ,79.40 80.20 ,73.20 76.46 ,75.47 76.35 ,75.55 75.55 ,74.62 76.00 ,75.60 77.50 ,70.42 73.90 ,73.50 74.40 ,70.42 80.20 ,79.40 ,75.78 ,
,,DIESEL ,79.40 79.80 ,78.50 80.90 ,78.72 80.40 ,79.40 79.60 ,76.25 76.25 ,79.03 79.05 ,78.30 80.40 ,72.83 78.20 ,74.00 79.10 ,72.83 80.90 ,79.40 ,78.60 ,
,,DIESEL PLUS ,81.40 81.40 ,86.90 86.90 ,N.A ,N.A ,N.A ,N.A ,N.A ,N.A ,N.A ,81.40 86.90 ,NONE ,84.15 ,
Davao del Sur ,,KEROSENE ,81.33-81.33 ,- ,- ,N.A ,- ,N.A ,N.A ,N.A ,- ,81.33 81.33 ,NONE ,81.33 ,





Table: Table_1

AREA ,,PRODUCT ,PETRON ,SHELL ,CALTEX ,PHOENIX ,FLYING V ,SEAOIL ,JETTI ,MY GAS ,INDEPENDENT ,OVERALL BANCE ,COMMON PDICE ,AVERAGE PRICE ,
,,RON 100 ,- ,- ,- ,- ,- ,- ,,- ,- ,- ,NONE ,NONE ,
,,RON 97 ,N.A ,N.A ,N.A ,81.40 81.40 ,N.A ,N.A ,,N.A ,N.A ,81.40 81.80 ,NONE ,81.60 ,
,,RON 95 ,77.29 77.29 ,77.79 79.80 ,- ,77.40 77.40 ,76.50 76.50 ,76.18 76.18 ,,76.18 76.18 ,76.19 76.19 ,76.18 79.80 ,76.18 ,77.17 ,
,Digos City ,RON 91 ,76.54 76.54 ,77.04 79.05 ,- ,77.00 77.00 ,75.30 75.30 ,74.88 74.88 ,NO BRANCH/ OUTLET ,74.80 74.80 ,74.87 74.87 ,74.80 79.05 ,NONE ,76.19 ,
,,DIESEL ,80.63 80.63 ,79.40 81.13 ,- ,79.56 79.56 ,78.75 78.75 ,78.15 78.15 ,,78.15 78.15 ,81.29 81.29 ,78.15 81.29 ,78.15 ,79.63 ,
,,DIESEL PLUS ,- ,81.40 87.13 ,N.A ,N.A ,N.A ,N.A ,,N.A ,N.A ,81.40 87.13 ,NONE ,84.27 ,
,,KEROSENE ,- ,77.98 81.33 ,- ,N.A ,- ,N.A ,,N.A ,- ,77.98 81.33 ,NONE ,79.66 ,
,,RON 97 ,N.A ,N.A ,N.A ,- ,N.A ,N.A ,,N.A ,N.A ,- ,NONE ,NONE ,
,,RON 95 ,74.00 74.00 ,74.90 74.90 ,74.00 74.00 ,76.75 76.75 ,78.05 78.05 ,71.55 - 71.55 ,,76.70 76.70 ,71.65 71.65 ,71.55 78.05 ,74.00 ,74.76 ,
,Panabo City ,RON 91 ,73.25 73.25 ,73.15 73.15 ,73.25 73.25 ,76.25 76.25 ,74.40 74.40 ,71.25 71.25 ,NO BRANCH/ ,76.10 76.10 ,71.35 71.35 ,71.25 76.25 ,73.25 ,73.80 ,
,,DIESEL ,78.15 78.15 ,80.05 80.05 ,78.85 78.85 ,77.85 77.85 ,78.95 78.95 ,75.05 75.05 ,OUTLET ,77.65 77.65 ,75.00 75.00 ,75.00 80.05 ,78.15 ,77.79 ,
,,DIESEL PLUS ,- ,88.30 88.30 ,N.A ,N.A ,N.A ,N.A ,,N.A ,N.A ,88.30 88.30 ,NONE ,88.30 ,
,,KEROSENE ,78.73 78.73 ,- ,- ,N.A ,- ,N.A ,,N.A ,- ,78.73 78.73 ,NONE ,78.73 ,
,,RON 97 ,,,N.A ,- ,N.A ,,,N.A ,N.A ,- ,NONE ,NONE ,
,,RON 95 ,,,78.05 78.05 ,- ,- ,,,- ,73.10 75.45 ,73.10 78.05 ,75.45 ,75.51 ,
,Samal City ,RON 91 ,NO BRANCH/ OUTLET ,NO BRANCH/ OUTLET ,77.50 77.50 ,- ,- ,NO BRANCH/ OUTLET ,NO BRANCH/ OUTLET ,- ,72.60 74.95 ,72.60 77.50 ,74.95 ,75.00 ,
,,DIESEL ,,,82.20 82.20 ,- ,- ,,,- ,76.90 78.50 ,76.90 82.20 ,78.50 ,79.03 ,
,,KEROSENE ,,,- ,N.A ,- ,,,N.A ,81.85 81.85 ,81.85 81.85 ,NONE ,81.85 ,
,,RON 97 ,N.A ,N.A ,N.A ,- ,N.A ,N.A ,,N.A ,N.A ,- ,NONE ,NONE ,
,,RON 95 ,74.80 74.80 ,75.20 75.70 ,73.00 73.00 ,74.50 74.50 ,72.75 72.80 ,73.40 73.40 ,,73.00 74.55 ,72.30 72.30 ,72.30 75.70 ,73.00 ,73.89 ,
,City ,RON 91 ,74.40 74.40 ,74.80 75.30 ,72.05 72.05 ,74.10 74.10 ,72.40 72.50 ,72.90 72.90 ,NO BRANCH/ ,71.50 - 74.15 ,72.30 72.30 ,71.50 75.30 ,74.40 ,73.37 ,
Davao del Norte ,Tagum ,DIESEL ,79.70 79.70 ,80.25 80.60 ,76.65 77.65 ,79.05 79.05 ,76.35 79.40 ,77.15 - 77.15 ,OUTLET ,76.75 - 77.35 ,76.35 76.35 ,76.35 80.60 ,79.70 ,78.40 ,
,,DIESEL PLUS ,- ,87.30 87.60 ,N.A ,N.A ,N.A ,N.A ,,N.A ,- ,87.30 87.60 ,87.60 ,87.50 ,
,,KEROSENE ,82.57 83.49 ,78.07 83.47 ,- ,N.A ,- ,N.A ,,N.A ,- ,78.07 83.49 ,NONE ,81.94 ,





Table: Table_1

,AREA ,PRODUCT ,PETRON ,SHELL ,CALTEX ,PHOENIX ,FLYING V ,SEAOIL ,JETTI ,MY GAS ,INDEPENDENT ,OVERALL DANCE ,COMMON PDICE ,AVERAGE PRICE ,
,,RON 100 ,- ,- ,,- ,,,,- ,- ,- ,NONE ,NONE ,
,,RON 97 ,- ,- ,,- ,,,,- ,- ,- ,NONE ,NONE ,
,,RON 95 ,78.95 80.25 ,72.85 78.95 ,,- ,,,,- ,72.85 78.35 ,72.85 80.25 ,78.95 ,76.83 ,
,Nabunturan ,RON 91 ,78.20 79.49 ,72.35 78.20 ,NO BRANCH/ OUTLET ,- ,NO BRANCH/ OUTLET ,NO BRANCH/ OUTLET ,NO BRANCH/ OUTLET ,- ,72.35 77.85 ,72.35 79.49 ,78.20 ,76.24 ,
,,DIESEL ,80.85 82.80 ,77.10 81.90 ,,- ,,,,- ,77.10 - 81.65 ,77.10 82.80 ,77.10 ,80.14 ,
,,DIESEL PLUS ,- ,- ,,- ,,,,- ,- ,- ,NONE ,NONE ,
Davao de Oro ,,KEROSENE ,80.87 81.02 ,- ,,- ,,,,- ,- ,80.87 81.02 ,NONE ,80.945 ,
,,RON 100 ,- ,- ,- ,- ,,,,,- ,- ,NONE ,NONE ,
,,RON 97 ,- ,- ,- ,- ,,,,,- ,- ,NONE ,NONE ,
,,RON 95 ,- ,- ,- ,- ,,,,,75.00 80.35 ,75.00 80.35 ,NONE ,77.68 ,
,Montevista ,RON 91 ,- ,- ,- ,- ,NO BRANCH/ OUTLET ,NO BRANCH/ OUTLET ,NO BRANCH/ OUTLET ,NO BRANCH/ OUTLET ,74.50 80.05 ,74.50 80.05 ,NONE ,77.28 ,
,,DIESEL ,- ,- ,- ,- ,,,,,77.00 82.75 ,77.00 82.75 ,NONE ,79.88 ,
,,DIESEL PLUS ,- ,- ,- ,- ,,,,,- ,- ,NONE ,NONE ,
,,KEROSENE ,- ,- ,- ,- ,,,,,83.00 83.00 ,83.00 83.00 ,NONE ,83.00 ,
Province ,Cities ,,,,,,,REGION XII ,,,,,,,
,,RON 97 ,- ,N.A ,N.A ,77.68 77.68 ,N.A ,N.A ,N.A ,N.A ,N.A ,77.68 77.68 ,NONE ,77.68 ,
,,RON 95 ,74.99 75.22 ,75.98 76.88 ,75.99 75.99 ,77.18 77.18 ,73.50 73.50 ,- ,73.85 73.85 ,- ,74.98-76.25 ,73.50 77.18 ,75.99 ,75.59 ,
,General Santos ,RON 91 ,74.22 74.50 ,75.19 76.13 ,75.70 75.70 ,73.68 73.68 ,73.20 73.20 ,- ,73.35 73.35 ,- ,74.49 75.75 ,73.20 76.13 ,75.70 ,74.88 ,
,City ,DIESEL ,78.99 79.54 ,80.52 81.16 ,81.04 81.04 ,76.96 76.96 ,78.44 78.44 ,- ,81.95 81.95 ,- ,79.32 81.45 ,76.96 81.95 ,81.04 ,80.22 ,
,,DIESEL PLUS ,80.66 80.66 ,86.42 86.43 ,N.A ,N.A ,N.A ,N.A ,N.A ,N.A ,N.A ,80.66 86.43 ,NONE ,84.50 ,
South Cotabato ,,KEROSENE ,81.87 81.87 ,- ,88.75 88.75 ,N.A ,- ,N.A ,N.A ,N.A ,- ,81.87 88.75 ,NONE ,85.31 ,
,,RON 97 ,N.A ,N.A ,N.A ,78.75 78.75 ,N.A ,N.A ,,N.A ,N.A ,78.75 78.75 ,NONE ,78.75 ,
,,RON 95 ,80.30 80.30 ,76.93 76.93 ,77.95 79.35 ,77.75 77.75 ,69.80 76.15 ,75.53 75.53 ,,- ,- ,69.80 80.30 ,75.53 ,76.59 ,
,Koronadal ,RON 91 ,77.25 77.25 ,76.13 76.13 ,77.39 78.40 ,77.00 77.00 ,67.40 74.73 ,74.73 74.73 ,NO BRANCH/ ,- ,- ,67.40 78.40 ,74.73 ,75.22 ,
,City ,DIESEL ,76.55 76.55 ,80.11 80.11 ,81.19 81.19 ,81.70 81.70 ,71.50 78.85 ,79.08 79.08 ,OUTLET ,- ,- ,71.50 81.70 ,81.19 ,78.76 ,
,,DIESEL PLUS ,- ,86.01 86.01 ,N.A ,N.A ,N.A ,N.A ,,N.A ,N.A ,86.01 86.01 ,NONE ,86.01 ,
,,KEROSENE ,- ,81.05 81.05 ,- ,N.A ,- ,N.A ,,N.A ,- ,81.05 81.05 ,NONE ,81.05 ,





Table: Table_1

,AREA ,PRODUCT ,PETRON ,SHELL ,CALTEX ,PHOENIX ,FLYING V ,SEAOIL ,JETTI ,MY GAS ,INDEPENDENT ,OVERALL BANCE ,COMMON PRICE ,AVERAGE PRICE ,
,,RON 97 ,,- ,,,- ,- ,,,- ,- ,NONE ,NONE ,
,,RON 95 ,,79.20 79.20 ,,,- ,76.55 76.55 ,,,76.70 77.20 ,71.30 79.20 ,77.20 ,76.36 ,
,,RON 91 ,NO BRANCH/ ,79.20 79.20 ,NO BRANCH/ ,NO BRANCH/ ,- ,76.55 76.55 ,NO BRANCH/ ,NO BRANCH/ ,75.70 77.20 ,70.85 79.20 ,NONE ,75.95 ,
,Kapalong ,DIESEL ,OUTLET ,84.20 84.20 ,OUTLET ,OUTLET ,- ,78.05 78.05 ,OUTLET ,OUTLET ,78.20 80.20 ,73.45 84.20 ,NONE ,78.96 ,
,,DIESEL PLUS ,,- ,,,- ,- ,,,- ,- ,NONE ,NONE ,
,,KEROSENE ,,- ,,,- ,- ,,,- ,- ,NONE ,NONE ,
,,RON 97 ,,- ,- ,,- ,- ,,,- ,- ,NONE ,NONE ,
,,RON 95 ,,80.23 80.23 ,80.91 80.91 ,,79.45 79.45 ,78.65 - 78.65 ,,,78.75 78.95 ,73.85 80.91 ,NONE ,78.68 ,
,,RON 91 ,NO BRANCH/ ,79.39 79.39 ,80.46 80.46 ,NO BRANCH/ ,78.95 78.95 ,78.35 78.35 ,NO BRANCH/ ,NO BRANCH/ ,78.25 78.45 ,73.35 80.46 ,NONE ,78.17 ,
,Sto. Tomas ,DIESEL ,OUTLET ,81.74 81.74 ,81.25 81.25 ,OUTLET ,81.33-81.33 ,80.25 80.25 ,OUTLET ,OUTLET ,80.15 - 80.55 ,74.30 81.74 ,NONE ,79.94 ,
,,DIESEL PLUS ,,- ,- ,,- ,- ,,,- ,- ,NONE ,NONE ,
,,KEROSENE ,,86.75 86.75 ,87.30 87.30 ,,- ,- ,,,- ,86.75 87.30 ,NONE ,87.025 ,
,,RON 100 ,- ,- ,- ,- ,- ,,,- ,,- ,NONE ,NONE ,
,,RON 97 ,N.A ,N.A ,N.A ,- ,N.A ,,,N.A ,,- ,NONE ,NONE ,
,,RON 95 ,80.95 80.95 ,78.55 79.05 ,- ,- ,79.61 79.61 ,,,- ,,78.20 80.95 ,NONE ,79.27 ,
Davao Oriental ,Mati City ,RON 91 ,80.70 80.70 ,77.80 78.30 ,- ,- ,78.86 78.86 ,NO BRANCH/ OUTLET ,NO BRANCH/ OUTLET ,- ,NO BRANCH/ OUTLET ,76.20 80.70 ,NONE ,78.37 ,
,,DIESEL ,82.75 82.75 ,80.35 81.35 ,- ,- ,81.41 81.41 ,,,- ,,80.35 87.70 ,NONE ,82.71 ,
,,DIESEL PLUS ,89.05 89.05 ,89.05 89.05 ,N.A ,N.A ,N.A ,,,N.A ,,89.05 89.05 ,89.05 ,89.05 ,
,,KEROSENE ,82.66 82.66 ,82.66 82.66 ,- ,N.A ,- ,,,N.A ,,82.66 86.25 ,82.66 ,83.86 ,





Table: Table_1

